id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,general_information,partnerships,overall score,,,,,,,,,
1539.00,Education,Schools,East Siang,Mebo,Mottum,28.08,95.44,43.00,80.00,74.11,12.00,45.00,24.38,0.00,0.00,6.00,14.29,42.86,34.55,0.00,90.40,8.00,27.53,0.00,58.00,75.00,48.90,,,,,,,,,
1768.00,Education,Schools,East Siang,Oyan,Murali,27.91,95.28,21.67,85.00,74.11,21.42,45.00,26.25,0.00,54.55,24.00,14.29,42.86,34.55,0.00,36.00,32.90,28.03,0.00,47.00,75.00,43.38,,,,,,,,,
1786.00,Education,Schools,East Siang,Mebo,Mebo,28.16,95.41,31.00,85.00,74.11,14.22,45.00,24.38,0.00,0.00,18.00,14.29,42.86,34.55,0.00,90.40,6.80,26.53,0.00,62.33,75.00,48.49,,,,,,,,,
1787.00,Education,Schools,East Siang,Mebo,Mebo,28.17,95.42,41.00,85.00,77.23,48.98,45.00,51.62,0.00,59.09,18.00,28.57,0.00,20.91,0.00,54.40,38.50,42.83,100.00,57.00,75.00,52.80,,,,,,,,,
1793.00,Education,Schools,East Siang,Mebo,Mebo,28.16,95.40,48.50,85.00,80.36,56.36,0.00,51.62,0.00,63.64,18.00,28.57,0.00,20.91,0.00,30.40,39.70,33.53,100.00,49.00,75.00,50.66,,,,,,,,,
1887.00,Education,Schools,East Siang,Ruksin,Ngorlung,27.87,95.23,37.00,51.67,87.50,33.42,45.00,52.38,50.00,0.00,6.00,28.57,0.00,34.55,100.00,69.60,30.50,31.68,0.00,49.00,75.00,45.41,,,,,,,,,
1888.00,Education,Schools,East Siang,Ruksin,Ngorlung,27.87,95.22,25.00,85.00,81.25,12.00,45.00,40.38,0.00,0.00,6.00,14.29,0.00,34.55,0.00,66.40,7.40,27.48,0.00,30.33,75.00,37.40,,,,,,,,,
1930.00,Education,Schools,Lohit,Tezu,Laboliang,27.99,96.18,46.00,85.00,42.86,9.60,0.00,0.00,0.00,0.00,24.00,14.29,71.43,27.27,0.00,0.00,10.40,17.98,0.00,50.33,75.00,44.88,,,,,,,,,
2076.00,Education,Schools,Lower Subansiri,Ziro,Hong,27.54,93.85,35.00,65.00,81.40,44.71,45.00,75.62,0.00,68.18,48.00,28.57,71.43,10.00,0.00,40.00,50.40,40.18,0.00,68.00,75.00,52.04,,,,,,,,,
2250.00,Education,Schools,Tirap,Khonsa,Lapnan,26.99,95.49,42.00,85.00,92.86,14.04,45.00,16.00,0.00,0.00,12.00,14.29,0.00,34.55,0.00,90.40,8.00,14.88,0.00,60.33,75.00,49.52,,,,,,,,,
